Campaign_ID,Campaign_Name,Channel,Impressions,Clicks,CTR,Conversions,CPA,Spend,Revenue,ROI,Status
CID_1,Campaign_C_1,LinkedIn Ads,131958,5775,0.04376392488519074,122,400.9439956359307,48915.17,9449.399034383032,-0.8068206849862112,Paused
CID_2,Campaign_B_2,Facebook Ads,156867,261,0.0016638298686148139,11,338.9142407694295,3728.06,6116.490395692162,0.6406630783013583,Active
CID_3,Campaign_B_3,Facebook Ads,141932,4397,0.030979624045317476,139,87.86298424777198,12212.95,53604.10852524665,3.3891204438932974,Paused
CID_4,Campaign_A_4,Email Marketing,375838,1095,0.0029134893225272592,229,122.7329213425762,28105.84,54522.87703940055,0.9399127383988718,Active
CID_5,Campaign_B_5,LinkedIn Ads,269178,11634,0.04322047121235762,63,454.34938483718565,28624.01,64105.56024832245,1.2395730105014098,Active
CID_6,Campaign_A_6,Email Marketing,129879,7729,0.05950923551921404,352,322.89307684681546,113658.36,72883.0420385435,-0.3587533548914176,Paused
CID_7,Campaign_A_7,LinkedIn Ads,120268,1116,0.009279276282968037,494,54.13867322748334,26744.5,97609.35586679092,2.6496982881261912,Completed
CID_8,Campaign_B_8,Facebook Ads,217892,8629,0.03960218824004553,233,95.66219428971444,22289.29,52113.734481818334,1.3380616646747532,Paused
CID_9,Campaign_A_9,Google Ads,64886,17362,0.26757698116696976,234,348.5757960986251,81566.74,32972.69082118335,-0.5957581384129935,Completed
CID_10,Campaign_B_10,Email Marketing,147337,9368,0.06358212804658707,394,52.277712730798406,20597.42,79723.43328210166,2.870554335547931,Active
CID_11,Campaign_B_11,Google Ads,485602,12285,0.0252984954757188,412,122.3636231378744,50413.81,27812.392874945348,-0.4483179732905458,Active
CID_12,Campaign_B_12,Email Marketing,440410,6431,0.01460230240003633,135,296.93020521496373,40085.58,44458.17064985797,0.10908138661977627,Active
CID_13,Campaign_C_13,Google Ads,97498,8671,0.08893515764425937,139,361.352838961712,50228.04,8767.18175288433,-0.8254524414473603,Paused
CID_14,Campaign_C_14,LinkedIn Ads,384871,7308,0.018988180455269427,62,343.3825667761702,21289.72,3509.7235981302933,-0.8351446802433149,Paused
CID_15,Campaign_C_15,Email Marketing,398468,5376,0.013491673108003654,181,150.9211892572519,27316.74,96302.19305311458,2.5253911357326886,Completed
CID_16,Campaign_C_16,Google Ads,185203,18546,0.1001387666506482,227,370.4806496063911,84099.11,83762.03193070837,-0.0040081050714048045,Active
CID_17,Campaign_B_17,LinkedIn Ads,201335,16548,0.08219137258797526,169,156.76208937356003,26492.79,69901.4464032761,1.6385083037036152,Completed
CID_18,Campaign_A_18,Facebook Ads,288167,16316,0.056619946072936876,207,196.4298641716705,40660.98,41486.34149701272,0.02029861299488395,Paused
CID_19,Campaign_C_19,Google Ads,51090,8106,0.15866118614210217,425,385.9211323031109,164016.48,18156.13768701373,-0.8893029670737128,Completed
CID_20,Campaign_A_20,Email Marketing,339365,2668,0.007861741782446629,256,342.3348045712466,87637.71,16487.26722443752,-0.811870172960504,Active
CID_21,Campaign_C_21,Email Marketing,74820,2127,0.02842822774659182,333,432.1505347223801,143906.13,25774.04691829494,-0.8208968101755294,Paused
CID_22,Campaign_A_22,Facebook Ads,272913,2795,0.01024135896787621,448,345.9258015351545,154974.76,55373.43980590592,-0.6426938179745791,Active
CID_23,Campaign_B_23,Facebook Ads,331879,15522,0.04677005776201568,212,305.7388715009622,64816.64,71744.99634730617,0.10689163071868837,Completed
CID_24,Campaign_B_24,Email Marketing,204027,5358,0.02626123013130615,193,92.1536455226416,17785.65,66359.5402950554,2.731071976287366,Active
CID_25,Campaign_B_25,LinkedIn Ads,337069,6836,0.020280714037778615,132,215.4721113767451,28442.32,28713.45579764834,0.009532829869305365,Completed
CID_26,Campaign_A_26,Google Ads,262709,491,0.0018689881199349851,410,169.34106545677645,69429.84,95531.6627856562,0.3759453109161162,Active
CID_27,Campaign_B_27,LinkedIn Ads,209041,14086,0.06738391033337958,264,159.79533952058762,42185.97,74051.79475288108,0.7553654628038913,Active
CID_28,Campaign_C_28,Email Marketing,277455,12766,0.04601106485736426,303,487.8547496386005,147819.99,55881.051198628666,-0.6219655325465204,Active
CID_29,Campaign_B_29,Google Ads,113355,5992,0.0528604825548057,289,226.89397610004215,65572.36,61560.35387720087,-0.06118440944933402,Completed
CID_30,Campaign_B_30,Email Marketing,245796,3661,0.014894465328971993,334,451.420949829701,150774.6,42540.4061803512,-0.7178542925641905,Paused
CID_31,Campaign_A_31,Google Ads,224176,6284,0.028031546641924202,381,334.0123816987683,127258.72,25525.36796061459,-0.7994214623515419,Paused
CID_32,Campaign_B_32,Email Marketing,194779,19583,0.1005395858896493,107,407.66508659374176,43620.16,36241.2951864749,-0.16916180072528633,Completed
CID_33,Campaign_B_33,LinkedIn Ads,357449,8492,0.023757235297902638,207,276.18669189733646,57170.65,76026.76493597255,0.3298215944015425,Completed
CID_34,Campaign_B_34,Facebook Ads,431909,13167,0.03048558839940821,479,309.6067480818616,148301.63,2424.955374345831,-0.9836484914269261,Completed
CID_35,Campaign_A_35,Facebook Ads,475148,15365,0.032337292801400824,404,271.6329622184888,109739.72,12491.191410184709,-0.8861743823459299,Completed
CID_36,Campaign_B_36,Google Ads,268795,19588,0.07287337934113358,249,137.85934450912004,34326.98,5554.261560153522,-0.8381954497554541,Active
CID_37,Campaign_C_37,Facebook Ads,496232,2554,0.005146786180657435,153,375.1034518676774,57390.83,5032.151429578044,-0.9123178488692698,Paused
CID_38,Campaign_C_38,LinkedIn Ads,402752,11937,0.029638586524709996,106,176.3475630983851,18692.84,85690.59781708971,3.5841401208746086,Active
CID_39,Campaign_C_39,Google Ads,166730,14139,0.08480177532537636,210,60.942184894154224,12797.86,70662.12807862235,4.521401865516762,Completed
CID_40,Campaign_A_40,Email Marketing,356622,19215,0.053880579437051,133,340.46253315822554,45281.52,47943.2090796452,0.058780912823712776,Paused
CID_41,Campaign_B_41,Google Ads,394681,11065,0.02803529939368756,196,129.699805733172,25421.16,10685.581904449147,-0.5796579737333329,Completed
CID_42,Campaign_B_42,Facebook Ads,159503,9862,0.061829558064738596,335,473.2063629588114,158524.13,49669.971636566406,-0.6866724855290711,Active
CID_43,Campaign_C_43,LinkedIn Ads,140523,5156,0.03669150245867225,473,479.2678596511643,226693.7,47873.705307276,-0.7888176631848349,Paused
CID_44,Campaign_C_44,Google Ads,12747,15048,1.1805130618969168,358,461.68897559920185,165284.65,18146.985121091504,-0.8902076803799294,Active
CID_45,Campaign_A_45,Email Marketing,133855,8210,0.06133502670800493,268,216.57141511495,58041.14,43951.31327455933,-0.24275585774918734,Active
CID_46,Campaign_C_46,Email Marketing,462366,13873,0.030004368833348474,157,56.95547743799034,8942.01,40451.96870533997,3.5238116156591155,Active
CID_47,Campaign_C_47,Email Marketing,75725,17512,0.23125784087157478,261,467.7433531644765,122081.02,61969.15970716943,-0.49239316883845313,Active
CID_48,Campaign_A_48,Facebook Ads,139981,602,0.004300583650638301,452,242.68286674279145,109692.66,63874.271435896735,-0.41769785292929595,Completed
CID_49,Campaign_A_49,Email Marketing,94654,7010,0.0740592051049084,429,484.9946685696513,208062.71,5485.096967432407,-0.9736372896064248,Paused
CID_50,Campaign_C_50,Email Marketing,438989,12785,0.029123736585654765,412,483.6289896901638,199255.14,38086.64884802065,-0.8088548739670122,Active
CID_51,Campaign_B_51,Email Marketing,391490,306,0.0007816291603872385,355,433.854254960312,154018.26,62960.1316557094,-0.5912164463115646,Completed
CID_52,Campaign_C_52,Facebook Ads,77435,17968,0.23203977529540906,460,182.5020014313136,83950.92,50810.489599428685,-0.3947595857266521,Paused
CID_53,Campaign_A_53,Email Marketing,329030,16034,0.048731118742971764,156,223.2939778708664,34833.86,85792.4942776439,1.4629051812702898,Completed
CID_54,Campaign_A_54,Email Marketing,338947,17347,0.05117909289652955,157,433.0115021825856,67982.81,66210.66953027555,-0.02606747896599807,Completed
CID_55,Campaign_C_55,Google Ads,41551,19274,0.46386368559120117,361,192.61490232032492,69533.98,17130.50828106154,-0.7536383178258811,Paused
CID_56,Campaign_B_56,Email Marketing,388360,8855,0.022801009372746935,208,126.2717360087416,26264.52,7986.305992642555,-0.6959279669819759,Paused
CID_57,Campaign_B_57,LinkedIn Ads,283538,12483,0.044025844860300915,317,300.5605681062576,95277.7,64599.50854242525,-0.32198711196402463,Completed
CID_59,Campaign_A_59,Google Ads,13890,14920,1.074154067674586,426,363.21340850373787,154728.91,58991.78254607286,-0.61874104492772,Active
CID_60,Campaign_A_60,Facebook Ads,51606,7674,0.1487036391117312,433,306.52752654021424,132726.42,94082.7939010708,-0.2911524781496344,Paused
CID_61,Campaign_A_61,Facebook Ads,499492,6474,0.012961168547244,137,93.72942219684585,12840.93,57971.94360971202,3.5146218856198126,Completed
CID_62,Campaign_A_62,Email Marketing,266840,1778,0.006663168940188877,48,326.7532520146264,15684.16,39428.82269444567,1.5139263240393919,Completed
CID_63,Campaign_A_63,Facebook Ads,483254,19726,0.04081911375798235,347,495.5242325469185,171946.91,64685.53362579297,-0.6238051987919238,Paused
CID_64,Campaign_B_64,Facebook Ads,359457,1159,0.0032243077753389138,369,113.03780685643582,41710.95,46367.03615866014,0.11162743017505346,Paused
CID_65,Campaign_A_65,LinkedIn Ads,151699,16298,0.10743643662779584,138,283.24834356368154,39088.27,55016.06214227756,0.40748265764326647,Active
CID_66,Campaign_A_66,Email Marketing,280936,10014,0.03564512913973289,276,444.81788236758,122769.74,94205.016068876,-0.2326690920020195,Completed
CID_67,Campaign_C_67,Google Ads,249931,19641,0.0785856896503435,485,383.345877989392,185922.75,39224.16114227665,-0.7890297925225576,Paused
CID_68,Campaign_B_68,Facebook Ads,249629,10917,0.04373289962304059,450,363.6570834478706,163645.69,96157.8658185675,-0.41240208759199526,Paused
CID_69,Campaign_C_69,Facebook Ads,215041,11021,0.05125069172855409,482,366.1178377941992,176468.8,90629.7135536503,-0.48642641898369393,Active
CID_70,Campaign_A_70,Google Ads,184073,9889,0.053723251101465176,443,211.77101804888983,93814.56,20383.322344140342,-0.7827275175181727,Paused
CID_71,Campaign_B_71,Facebook Ads,217624,16412,0.07541447634452082,160,182.116329919022,29138.61,7866.76878664138,-0.7300225101114508,Active
CID_72,Campaign_C_72,Email Marketing,427113,11352,0.026578446453280512,424,414.2125199653311,175626.11,10977.022136365238,-0.9374977778852743,Active
CID_73,Campaign_C_73,Google Ads,78148,2793,0.03573987817986385,487,414.55102760563136,201886.35,2803.960739503423,-0.9861111920667077,Paused
CID_74,Campaign_A_74,Facebook Ads,262801,14031,0.05339020779981812,307,440.1825433610466,135136.04,10349.853114836911,-0.9234115997861347,Paused
CID_75,Campaign_C_75,Facebook Ads,134243,3727,0.027763086343422002,108,460.9582486504121,49783.49,68617.67056821933,0.3783218205115658,Active
CID_76,Campaign_C_76,Facebook Ads,261995,16257,0.06205080249623084,272,280.10407948742204,76188.31,8047.67619756267,-0.8943712467494991,Completed
CID_77,Campaign_B_77,Email Marketing,392318,10273,0.026185390423075158,261,275.68233260923984,71953.09,32578.587399082367,-0.5472246237224507,Active
CID_78,Campaign_C_78,LinkedIn Ads,164555,18147,0.1102792379447601,153,409.2328305350488,62612.62,84642.655785976,0.3518465731984383,Paused
CID_79,Campaign_C_79,LinkedIn Ads,396502,10330,0.026052832015979743,355,342.4837688499943,121581.74,3303.921637846761,-0.9728255111512077,Active
CID_80,Campaign_A_80,Email Marketing,58555,15807,0.2699513278114593,121,365.8850947659665,44272.1,81632.37977630465,0.8438786453839924,Completed
CID_81,Campaign_B_81,Google Ads,266508,11594,0.0435033845137857,69,408.1067012462455,28159.36,28903.622702566598,0.026430384162374324,Paused
CID_82,Campaign_B_82,Facebook Ads,289303,1406,0.0048599565161785395,378,450.5024038179049,170289.91,12698.31793454397,-0.9254311783091319,Completed
CID_83,Campaign_C_83,Google Ads,382654,6876,0.017969235915474554,11,202.09782058319112,2223.08,69976.97937105091,30.47749040567632,Paused
CID_84,Campaign_A_84,Google Ads,116530,9574,0.08215910066077405,394,219.0123286879748,86290.86,63265.34183120851,-0.2668361187823541,Active
CID_85,Campaign_B_85,LinkedIn Ads,90077,7626,0.08466090122894857,313,92.29187292839106,28887.36,87869.72933917824,2.0418054588296832,Paused
CID_86,Campaign_C_86,Google Ads,308064,5630,0.01827542328866729,263,310.2260634482783,81589.45,73772.03333658469,-0.09581406252175138,Paused
CID_87,Campaign_C_87,Email Marketing,495283,3848,0.007769295534068401,149,66.17402320853394,9859.93,80544.61210810002,7.168882751510407,Completed
